level,total agents alive,average health,average stamina,average attack,average defense,average personality,average sanctioned,count selfless,count selfish,count collective
1,6,1000,2000,20,20,51,0,0,0,6
2,6,993,2020,20,20,52,0,0,0,6
3,6,991,2040,20,20,52,0,0,0,6
4,6,991,2020,20,20,50,0,0,0,6
5,6,973,2000,20,20,50,0,2,2,2
6,6,977,1990,20,20,48,0,1,2,3
7,6,953,1980,20,20,50,0,1,2,3
8,6,879,2060,20,20,47,0,1,2,3
9,6,835,2090,20,20,46,0,1,2,3
10,6,802,2150,20,20,46,0,0,2,4
11,6,772,2120,20,20,48,0,0,2,4
12,6,752,2120,20,20,50,0,0,0,6
13,6,725,2100,20,20,52,0,2,2,2
14,6,684,2130,20,20,51,0,0,0,6
15,6,626,2080,20,20,51,0,1,1,4
16,6,574,2080,20,20,50,0,1,0,5
17,6,527,2140,20,20,51,0,1,0,5
18,6,463,2120,20,20,51,0,2,1,3
19,6,435,2110,20,20,53,0,2,0,4
20,6,383,2110,20,20,54,0,2,0,4
21,6,339,2140,20,20,56,0,2,0,4
22,5,266,2172,20,20,48,0,1,0,4
23,5,95,2268,20,20,47,0,1,0,4
24,1,217,2340,20,20,0,0,0,0,0
